Feature ID	Taxon
SAG2_0_NT_8340	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Dasytricha; s_ruminantium
SAG3_0_ST_7869	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Dasytricha; s_ruminantium
SAG4_0_ST_7428	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Dasytricha; s_ruminantium
SAG5_0_NT_10536	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Dasytricha; s_ruminantium
SAGT1_0_NT_5350	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Dasytricha; s_ruminantium
SAG3_0_NT_5349	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Diplodinium; s_dentatum
SAG4_0_ST_8575	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Diplodinium; s_dentatum
SAGT1_0_NT_5669	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Diplodinium; s_dentatum
SAGT2_0_NT_8265	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Diplodinium; s_dentatum
SAG1_0_BT_9736	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Diplodinium; s_flabellum
SAG2_0_NT_7877	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Diplodinium; s_flabellum
SAG3_0_ST_9549	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Enoploplastron; s_triloricatum
SAGT2_0_ST_9012	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Enoploplastron; s_triloricatum
SAG3_0_NT_6796	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Entodinium; s_bursa
SAGT1_0_BT_9368	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Entodinium; s_bursa
SAG3_0_NT_6493	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Entodinium; s_caudatum
SAG4_0_BT_10558	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Entodinium; s_caudatum
SAGT1_0_ST_7247	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Entodinium; s_caudatum
SAG4_0_BT_8110	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Entodinium; s_longinucleatum
SAGT1_0_BT_8110 k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Entodinium; s_longinucleatum
SAGT2_0_ST_8067	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Entodinium; s_longinucleatum
SAG1_0_BT_13234	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Epidinium; s_caudatum
SAG2_0_BT_8068	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Epidinium; s_caudatum
SAG2_0_NT_8259	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Eremoplastron; s_rostratum
SAGT1_0_NT_14931	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Isotricha; s_intestinalis
SAGT2_0_ST_9665	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Isotricha; s_intestinalis
SAG1_0_ST_15841	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Isotricha; s_jalaludinii
SAG2_0_NT_16005	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Isotricha; s_jalaludinii
SAG3_0_ST_66707	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Isotricha; s_jalaludinii
SAG4_0_NT_119093	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Isotricha; s_jalaludinii
SAG1_0_BT_7142	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Isotricha; s_paraprostoma
SAG2_0_NT_7229	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Isotricha; s_paraprostoma
SAG2_0_ST_7329	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Isotricha; s_prostoma
SAGT1_0_NT_9389	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Vestibuliferida; f_Isotrichidae; g_Isotricha; s_prostoma
SAG6_0_ST_7845	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Ophryoscolex; s_caudatus
SAG7_0_ST_10528	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Ophryoscolex; s_caudatus
SAG8_0_ST_7556	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Ophryoscolex; s_caudatus
SAG9_0_NT_7241	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Ophryoscolex; s_caudatus
SAG10_0_NT_7241	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Ophryoscolex; s_caudatus
SAG11_0_NT_6766	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Ophryoscolex; s_caudatus
SAGT2_0_ST_6755	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Ophryoscolex; s_caudatus
SAGT3_0_BT_9281	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Ophryoscolex; s_caudatus
SAGT4_0_NT_8124	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Ophryoscolex; s_caudatus
SAG1_0_BT_8444	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Ostracodinium; s_dentatum
SAG1_0_NT_6491	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Ostracodinium; s_gracile
SAG3_0_ST_8191	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Ostracodinium; s_gracile
SAG8_0_ST_7510	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Polyplastron; s_multivesiculatum
SAGT1_0_NT_6642	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Polyplastron; s_multivesiculatum
SAGT2_0_NT_7085	k_Alveolata; p_Ciliophora; c_Litostomatea; o_Entodiniomorphida; f_Ophryoscolecidae; g_Polyplastron; s_multivesiculatum
